game_id,season,week,home_team,away_team,gametime,stadium,location,roof,surface,temp,wind,home_bye,away_bye,home_time_advantage,dif_surface,div_game,hfa_base,home_bye_adj,away_bye_adj,home_time_advantage_adj,dif_surface_adj,div_game_adj,hfa_adj
1999_01_MIN_ATL,1999,1,ATL,MIN,,Georgia Dome,Home,dome,astroturf,,,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_01_KC_CHI,1999,1,CHI,KC,,Soldier Field,Home,outdoors,grass,80.0,12.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_01_PIT_CLE,1999,1,CLE,PIT,,Cleveland Browns Stadium,Home,outdoors,grass,78.0,12.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_01_OAK_GB,1999,1,GB,OAK,,Lambeau Field,Home,outdoors,grass,67.0,10.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_01_BUF_IND,1999,1,IND,BUF,,RCA Dome,Home,dome,astroturf,,,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_01_SF_JAX,1999,1,JAX,SF,,Alltel Stadium,Home,outdoors,grass,76.0,8.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_01_CAR_NO,1999,1,NO,CAR,,Louisiana Superdome,Home,dome,astroturf,,,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_01_NE_NYJ,1999,1,NYJ,NE,,Giants Stadium,Home,outdoors,astroturf,73.0,5.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_01_ARI_PHI,1999,1,PHI,ARI,,Veterans Stadium,Home,outdoors,astroturf,75.0,3.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_01_DET_SEA,1999,1,SEA,DET,,Seattle Kingdome,Home,dome,astroturf,,,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_01_BAL_LAR,1999,1,LAR,BAL,,TWA Dome,Home,dome,astroturf,,,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_01_NYG_TB,1999,1,TB,NYG,,Raymond James Stadium,Home,outdoors,grass,88.0,8.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_01_CIN_TEN,1999,1,TEN,CIN,,Adelphia Coliseum,Home,outdoors,grass,84.0,10.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_01_DAL_WAS,1999,1,WAS,DAL,,Jack Kent Cooke Stadium,Home,outdoors,grass,71.0,0.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_01_MIA_DEN,1999,1,DEN,MIA,,Mile High Stadium,Home,outdoors,grass,60.0,5.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_02_PIT_BAL,1999,2,BAL,PIT,,PSINet Stadium,Home,outdoors,grass,74.0,7.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_02_NYJ_BUF,1999,2,BUF,NYJ,,Ralph Wilson Stadium,Home,outdoors,astroturf,68.0,5.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_02_JAX_CAR,1999,2,CAR,JAX,,Ericsson Stadium,Home,outdoors,grass,74.0,3.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_02_SEA_CHI,1999,2,CHI,SEA,,Soldier Field,Home,outdoors,grass,76.0,15.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_02_LAC_CIN,1999,2,CIN,LAC,,Cinergy Field,Home,outdoors,astroturf,79.0,5.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
