,season,week,hfa_base,forward_observed_hfa,trailing_observed_hfa
0,1999,1,2.5,,
15,1999,2,2.5,,
30,1999,3,2.5,,
44,1999,4,2.5,,
58,1999,5,2.5,,
72,1999,6,2.5,,
86,1999,7,2.5,,
100,1999,8,2.5,,
114,1999,9,2.5,,
128,1999,10,2.5,,
143,1999,11,2.5,,
158,1999,12,2.5,,
173,1999,13,2.5,,
188,1999,14,2.5,,
203,1999,15,2.5,,
218,1999,16,2.5,,
233,1999,17,2.5,,
248,1999,18,2.5,,
252,1999,19,2.5,,
256,1999,20,2.5,,
258,1999,21,2.5,,
259,2000,1,2.5,,
274,2000,2,2.5,,
289,2000,3,2.5,,
303,2000,4,2.5,,
317,2000,5,2.5,,
331,2000,6,2.5,,
345,2000,7,2.5,,
359,2000,8,2.5,,
373,2000,9,2.5,,
387,2000,10,2.5,,
402,2000,11,2.5,,
417,2000,12,2.5,,
432,2000,13,2.5,,
447,2000,14,2.5,,
462,2000,15,2.5,,
477,2000,16,2.5,,
492,2000,17,2.5,,
507,2000,18,2.5,,
511,2000,19,2.5,,
515,2000,20,2.5,,
517,2000,21,2.5,,
518,2001,1,2.5,,
533,2001,2,2.5,,
547,2001,3,2.5,,
561,2001,4,2.5,,
576,2001,5,2.5,,
590,2001,6,2.5,,
603,2001,7,2.5,,
617,2001,8,2.5,,
631,2001,9,2.5,,
646,2001,10,2.5,,
661,2001,11,2.5,,
676,2001,12,2.5,,
691,2001,13,2.5,,
706,2001,14,2.5,,
721,2001,15,2.5,,
736,2001,16,2.5,,
751,2001,17,2.5,,
766,2001,18,2.5,,
770,2001,19,2.5,,
774,2001,20,2.5,,
776,2001,21,2.5,,
777,2002,1,2.5,,
793,2002,2,2.5,,
809,2002,3,2.5,,
823,2002,4,2.5,,
837,2002,5,2.5,,
851,2002,6,2.5,,
865,2002,7,2.5,,
879,2002,8,2.5,,
893,2002,9,2.5,,
907,2002,10,2.5,,
921,2002,11,2.5,,
937,2002,12,2.5,,
953,2002,13,2.5,,
969,2002,14,2.5,,
985,2002,15,2.5,,
1001,2002,16,2.5,,
1017,2002,17,2.5,,
1033,2002,18,2.5,,
1037,2002,19,2.5,,
1041,2002,20,2.5,,
1043,2002,21,2.5,,
1044,2003,1,2.5,3.061452279984951,
1060,2003,2,2.5,3.0319612085819245,
1076,2003,3,2.5,2.964389780163765,
1090,2003,4,2.5,3.4805683523416517,
1104,2003,5,2.5,3.7308540672063826,
1118,2003,6,2.5,3.7401397794485094,
1132,2003,7,2.5,4.084604057669639,
1146,2003,8,2.5,3.9669285744428633,
1160,2003,9,2.5,3.805580350756645,
1174,2003,10,2.5,3.8325982064008715,
1188,2003,11,2.5,3.614285704493523,
1204,2003,12,2.5,3.7280357122421264,
1220,2003,13,2.5,3.260410690307617,
1236,2003,14,2.5,2.680316945910454,
1252,2003,15,2.5,2.738254448771477,
1268,2003,16,2.5,3.191098204255104,
1284,2003,17,2.5,3.0550178438425064,
1300,2003,18,2.5,,
1304,2003,19,2.5,,
1308,2003,20,2.5,,
1310,2003,21,2.5,,
1311,2004,1,2.5,2.976366397738457,
1327,2004,2,2.5,3.244817277789116,
1343,2004,3,2.5,3.534424418210983,3.3076263949275018
1357,2004,4,2.5,3.7427458643913267,3.061452279984951
1371,2004,5,2.5,4.240960144996643,3.0319612085819245
1385,2004,6,2.5,4.25331729054451,2.964389780163765
1399,2004,7,2.5,3.970960146188736,3.4805683523416517
1413,2004,8,2.5,3.8296387255191804,3.7308540672063826
1427,2004,9,2.5,3.66824586391449,3.7401397794485094
1441,2004,10,2.5,3.4784958720207215,4.084604057669639
1455,2004,11,2.5,3.38405836224556,3.9669285744428633
1471,2004,12,2.5,3.652683347463608,3.805580350756645
1487,2004,13,2.5,3.3670895874500273,3.8325982064008715
1503,2004,14,2.5,3.256277102231979,3.614285704493523
1519,2004,15,2.5,2.7880895912647246,3.7280357122421264
1535,2004,16,2.5,3.2557770788669584,3.260410690307617
1551,2004,17,2.5,3.250513696670532,2.680316945910454
1567,2004,18,2.5,,
1571,2004,19,2.5,,
1575,2004,20,2.5,,
1577,2004,21,2.5,,
1578,2005,1,2.5,3.2028440713882445,2.738254448771477
1594,2005,2,2.5,3.3180092096328737,3.191098204255104
1610,2005,3,2.5,3.236594390869141,3.0550178438425064
1624,2005,4,2.5,3.2804790079593658,2.976366397738457
1638,2005,5,2.5,2.974157580733299,3.244817277789116
1652,2005,6,2.5,2.7102290242910385,3.534424418210983
1666,2005,7,2.5,2.38695670068264,3.7427458643913267
1680,2005,8,2.5,1.9232022374868394,4.240960144996643
1694,2005,9,2.5,2.1461040318012237,4.25331729054451
1708,2005,10,2.5,1.95020672082901,3.970960146188736
1722,2005,11,2.5,1.825487956404686,3.8296387255191804
1738,2005,12,2.5,1.6194254547357558,3.66824586391449
1754,2005,13,2.5,1.3928316980600357,3.4784958720207215
1770,2005,14,2.5,0.992675456404686,3.38405836224556
1786,2005,15,2.5,0.8553004711866379,3.652683347463608
1802,2005,16,2.5,0.9087379544973373,3.3670895874500273
1818,2005,17,2.5,0.964425441622734,3.256277102231979
1834,2005,18,2.5,,
1838,2005,19,2.5,,
1842,2005,20,2.5,,
1844,2005,21,2.5,,
1845,2006,1,2.5,1.41709061563015,2.7880895912647246
1861,2006,2,2.5,1.1915995568037032,3.2557770788669584
1877,2006,3,2.5,1.1788028478622437,3.250513696670532
1891,2006,4,2.5,1.0515885472297668,3.2028440713882445
1905,2006,5,2.5,0.49110048413276675,3.3180092096328737
1919,2006,6,2.5,0.7004795849323273,3.236594390869141
1932,2006,7,2.5,0.4907598078250885,3.2804790079593658
1945,2006,8,2.5,0.4147241026163101,2.974157580733299
1959,2006,9,2.5,0.37496069371700286,2.7102290242910385
1973,2006,10,2.5,0.6502106755971908,2.38695670068264
1989,2006,11,2.5,1.0182106822729111,1.9232022374868394
2005,2006,12,2.5,1.0659294217824935,2.1461040318012237
2021,2006,13,2.5,1.4097419053316116,1.95020672082901
2037,2006,14,2.5,1.680991917848587,1.825487956404686
2053,2006,15,2.5,1.9715856730937957,1.6194254547357558
2069,2006,16,2.5,1.989779418706894,1.3928316980600357
2085,2006,17,2.5,2.5560294091701508,0.992675456404686
2101,2006,18,2.5,,
2105,2006,19,2.5,,
2109,2006,20,2.5,,
2111,2006,21,2.5,,
2112,2007,1,2.5,2.6661880791187285,0.8553004711866379
2128,2007,2,2.5,2.7497550427913664,0.9087379544973373
2144,2007,3,2.5,2.9847907721996307,0.964425441622734
2160,2007,4,2.5,3.2362907946109774,1.41709061563015
2174,2007,5,2.5,3.2442578256130217,1.1915995568037032
2188,2007,6,2.5,3.1128045320510864,1.1788028478622437
2201,2007,7,2.5,2.9303402334451674,1.0515885472297668
2215,2007,8,2.5,3.1490381568670274,0.49110048413276675
2228,2007,9,2.5,2.609466740489006,0.7004795849323273
2242,2007,10,2.5,2.6125783413648604,0.4907598078250885
2256,2007,11,2.5,3.0513449996709823,0.4147241026163101
2272,2007,12,2.5,3.182563748955727,0.37496069371700286
2288,2007,13,2.5,3.0722825080156326,0.6502106755971908
2304,2007,14,2.5,3.0613137513399122,1.0182106822729111
2320,2007,15,2.5,2.790845012664795,1.0659294217824935
2336,2007,16,2.5,2.43775127530098,1.4097419053316116
2352,2007,17,2.5,2.1256262809038162,1.680991917848587
2368,2007,18,2.5,,
2372,2007,19,2.5,,
2376,2007,20,2.5,,
2378,2007,21,2.5,,
2379,2008,1,2.5,2.563952198624611,1.9715856730937957
