,season,week,avg_error,level,intercept_constant,hfa_base
0,1999,1,,,,2.75
1,1999,2,,,,2.75
2,1999,3,,,,2.75
3,1999,4,,,,2.75
4,1999,5,,,,2.75
5,1999,6,,,,2.75
6,1999,7,,,,2.75
7,1999,8,,,,2.75
8,1999,9,,,,2.75
9,1999,10,,,,2.75
10,1999,11,,,,2.75
11,1999,12,,,,2.75
12,1999,13,,,,2.75
13,1999,14,,,,2.75
14,1999,15,,,,2.75
15,1999,16,,,,2.75
16,1999,17,,,,2.75
17,1999,18,,,,2.75
18,1999,19,,,,2.75
19,1999,20,,,,2.75
20,1999,21,,,,2.75
21,2000,1,,,,2.75
22,2000,2,,,,2.75
23,2000,3,,,,2.75
24,2000,4,,,,2.75
25,2000,5,,,,2.75
26,2000,6,,,,2.75
27,2000,7,,,,2.75
28,2000,8,,,,2.75
29,2000,9,,,,2.75
30,2000,10,,,,2.75
31,2000,11,,,,2.75
32,2000,12,,,,2.75
33,2000,13,,,,2.75
34,2000,14,,,,2.75
35,2000,15,,,,2.75
36,2000,16,,,,2.75
37,2000,17,,,,2.75
38,2000,18,,,,2.75
39,2000,19,,,,2.75
40,2000,20,,,,2.75
41,2000,21,,,,2.75
42,2001,1,,,,2.75
43,2001,2,,,,2.75
44,2001,3,,,,2.75
45,2001,4,,,,2.75
46,2001,5,,,,2.75
47,2001,6,,,,2.75
48,2001,7,,,,2.75
49,2001,8,,,,2.75
50,2001,9,,,,2.75
51,2001,10,,,,2.75
52,2001,11,,,,2.75
53,2001,12,,,,2.75
54,2001,13,,,,2.75
55,2001,14,,,,2.75
56,2001,15,,,,2.75
57,2001,16,,,,2.75
58,2001,17,,,,2.75
59,2001,18,,,,2.75
60,2001,19,,,,2.75
61,2001,20,,,,2.75
62,2001,21,,,,2.75
63,2002,1,,,,2.75
64,2002,2,,,,2.75
65,2002,3,,,,2.75
66,2002,4,,,,2.75
67,2002,5,,,,2.75
68,2002,6,,,,2.75
69,2002,7,,,,2.75
70,2002,8,,,,2.75
71,2002,9,,,,2.75
72,2002,10,,,,2.75
73,2002,11,,,,2.75
74,2002,12,,,,2.75
75,2002,13,,,,2.75
76,2002,14,,,,2.75
77,2002,15,,,,2.75
78,2002,16,,,,2.75
79,2002,17,,,,2.75
80,2002,18,,,,2.75
