,level,level_weeks,reg_weeks,kick_in,mae
0,2.25,10,272,1.0,10.629182287393164
1,2.25,10,273,1.0,10.629191196289089
2,2.25,11,272,1.0,10.62923095309324
3,2.25,11,273,1.0,10.62923900039791
4,2.25,10,274,1.0,10.629265221981042
5,2.25,12,272,1.0,10.629282261018163
6,2.25,10,271,1.0,10.629284433204685
7,2.25,12,273,1.0,10.629289461304944
8,2.25,11,274,1.0,10.629308883566068
9,2.25,11,271,1.0,10.629326601644602
10,2.25,13,272,1.0,10.629335203589743
11,2.25,13,273,1.0,10.629340944826955
12,2.25,10,280,1.0,10.629345078443611
13,2.25,12,274,1.0,10.629354477888183
14,2.25,10,275,1.0,10.629355584734055
15,2.25,12,271,1.0,10.629371065693936
16,2.25,10,279,1.0,10.629378084710556
17,2.25,14,272,1.0,10.62938905010593
18,2.25,10,276,1.0,10.629391124458706
19,2.25,11,275,1.0,10.629393585442708
20,2.25,14,273,1.0,10.6293943393291
21,2.25,13,274,1.0,10.6294013033564
22,2.5,10,284,0.75,10.62940873315229
23,2.25,10,270,1.0,10.629413325511084
24,2.5,10,285,0.75,10.62941559529762
25,2.25,11,280,1.0,10.629416096269544
26,2.25,13,271,1.0,10.629420223046644
27,2.25,10,277,1.0,10.629425320607648
28,2.25,11,276,1.0,10.629428799443312
29,2.25,12,275,1.0,10.629432668134836
30,2.25,11,279,1.0,10.629433735908298
31,2.25,10,278,1.0,10.62943871800462
32,2.25,15,272,1.0,10.629441886054543
33,2.25,15,273,1.0,10.629446522914089
34,2.25,11,270,1.0,10.629449116516977
35,2.25,14,274,1.0,10.629449605559037
36,2.5,10,283,0.75,10.629458809707709
37,2.5,10,286,0.75,10.629459409011067
38,2.25,11,277,1.0,10.62946431581305
39,2.25,12,276,1.0,10.629467788391556
40,2.25,14,271,1.0,10.6294704587064
41,2.5,11,284,0.75,10.62947420635888
42,2.25,13,275,1.0,10.62947589010775
43,2.25,10,281,1.0,10.629481054151135
44,2.25,11,278,1.0,10.629481754329552
45,2.25,12,280,1.0,10.629483772412666
46,2.5,11,285,0.75,10.62948379102358
47,2.25,12,270,1.0,10.629486110801846
48,2.25,12,279,1.0,10.629488801295562
49,2.25,10,269,1.0,10.629490030338028
50,2.25,16,272,1.0,10.62949365921062
51,2.25,16,273,1.0,10.629497458270672
52,2.25,15,274,1.0,10.629498843855949
53,2.25,10,285,0.75,10.629501958190993
54,2.25,12,277,1.0,10.629504827498444
55,2.25,10,286,0.75,10.629505772706672
56,2.5,10,282,0.75,10.629506936825456
57,2.25,13,276,1.0,10.629508821358678
58,2.5,11,283,0.75,10.629517660101373
